;ID WMO;:  96943
;NAMA STASIUN;:  Stasiun Klimatologi Jawa Timur
;LINTANG;:  -7.90080
;BUJUR;:  112.59790
;ELEVASI;:  590 Meter
;;
;;
TANGGAL;RR;
01/08/2025;0;
02/08/2025;0;
03/08/2025;0;
04/08/2025;16,6;
05/08/2025;0;
06/08/2025;0;
07/08/2025;0;
08/08/2025;0;
09/08/2025;0;
10/08/2025;0;
11/08/2025;22;
12/08/2025;6,6;
13/08/2025;0;
14/08/2025;0;
15/08/2025;0;
16/08/2025;0;
17/08/2025;0;
18/08/2025;0;
19/08/2025;31,7;
20/08/2025;12;
21/08/2025;22;
22/08/2025;0;
23/08/2025;0;
24/08/2025;0;
25/08/2025;0;
26/08/2025;0;
27/08/2025;0;
28/08/2025;2,2;
29/08/2025;9999;
30/08/2025;9999;
31/08/2025;0;
;;
;;
;;
KETERANGAN:;;
8888: Data tidak terukur;;
9999: Tidak Ada Data (tidak dilakukan pengukuran);;
RR: Curah hujan(mm);;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
