;ID WMO;:  96943
;NAMA STASIUN;:  Stasiun Klimatologi Jawa Timur
;LINTANG;:  -7.90080
;BUJUR;:  112.59790
;ELEVASI;:  590 Meter
;;
;;
TANGGAL;RR;
01/01/2025;31,2;
02/01/2025;29,3;
03/01/2025;2,1;
04/01/2025;0;
05/01/2025;1,4;
06/01/2025;4;
07/01/2025;9,7;
08/01/2025;17,6;
09/01/2025;0,2;
10/01/2025;5,2;
11/01/2025;1,5;
12/01/2025;0;
13/01/2025;15,8;
14/01/2025;1;
15/01/2025;21,1;
16/01/2025;0,4;
17/01/2025;0;
18/01/2025;0,6;
19/01/2025;0,9;
20/01/2025;29,8;
21/01/2025;8,4;
22/01/2025;31,5;
23/01/2025;62;
24/01/2025;3,9;
25/01/2025;2,2;
26/01/2025;1,4;
27/01/2025;2,7;
28/01/2025;42,3;
29/01/2025;29,3;
30/01/2025;18,5;
31/01/2025;9999;
01/02/2025;0;
02/02/2025;0;
03/02/2025;0;
04/02/2025;0;
05/02/2025;9999;
06/02/2025;0;
07/02/2025;1,1;
08/02/2025;2,8;
09/02/2025;0,9;
10/02/2025;5,9;
11/02/2025;2,6;
12/02/2025;0;
13/02/2025;0;
14/02/2025;0;
15/02/2025;2,9;
16/02/2025;3,2;
17/02/2025;0;
18/02/2025;12;
19/02/2025;30,6;
20/02/2025;30,4;
21/02/2025;0,2;
22/02/2025;28,5;
23/02/2025;4;
24/02/2025;1,6;
25/02/2025;62,9;
26/02/2025;37,5;
27/02/2025;18,3;
28/02/2025;43,8;
01/03/2025;71,2;
02/03/2025;0;
03/03/2025;0;
04/03/2025;9999;
05/03/2025;0;
06/03/2025;0;
07/03/2025;3;
08/03/2025;16;
09/03/2025;2,4;
10/03/2025;0;
11/03/2025;4;
12/03/2025;0,3;
13/03/2025;6,3;
14/03/2025;8,1;
15/03/2025;1,9;
16/03/2025;40,6;
17/03/2025;16,5;
18/03/2025;6,3;
19/03/2025;6,7;
20/03/2025;7,6;
21/03/2025;9999;
22/03/2025;0;
23/03/2025;11,6;
24/03/2025;0,2;
25/03/2025;4,4;
26/03/2025;0;
27/03/2025;4,3;
28/03/2025;0;
29/03/2025;10,8;
30/03/2025;1,7;
31/03/2025;0,2;
01/04/2025;0;
02/04/2025;0,5;
03/04/2025;13,2;
04/04/2025;0,5;
05/04/2025;0;
06/04/2025;0;
07/04/2025;0;
08/04/2025;10,8;
09/04/2025;15;
10/04/2025;0,2;
11/04/2025;7;
12/04/2025;11;
13/04/2025;0;
14/04/2025;0,6;
15/04/2025;0;
16/04/2025;0,5;
17/04/2025;2,4;
18/04/2025;9999;
19/04/2025;0;
20/04/2025;0;
21/04/2025;4,8;
22/04/2025;0;
23/04/2025;0;
24/04/2025;0;
25/04/2025;0;
26/04/2025;0;
27/04/2025;14,8;
28/04/2025;0;
29/04/2025;0;
30/04/2025;0;
01/05/2025;0;
02/05/2025;0;
03/05/2025;0;
04/05/2025;0;
05/05/2025;0;
06/05/2025;0;
07/05/2025;0,8;
08/05/2025;31,6;
09/05/2025;9999;
10/05/2025;4,9;
11/05/2025;3,6;
12/05/2025;37,9;
13/05/2025;1,5;
14/05/2025;19,3;
15/05/2025;2,2;
16/05/2025;2,6;
17/05/2025;55,4;
18/05/2025;9999;
19/05/2025;0;
20/05/2025;23,4;
21/05/2025;5,5;
22/05/2025;0;
23/05/2025;0;
24/05/2025;0;
25/05/2025;0;
26/05/2025;0;
27/05/2025;1,1;
28/05/2025;0;
29/05/2025;0;
30/05/2025;0;
31/05/2025;0;
01/06/2025;11,9;
02/06/2025;0;
03/06/2025;0;
